Time,Time Code,Country Name,Country Code,Population growth (annual %) [SP.POP.GROW],"GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",Net official development assistance and official aid received (constant 2020 US$) [DT.ODA.ALLD.KD],"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high) [IQ.CPA.TRAN.XQ]",Human capital index (HCI) (scale 0-1) [HD.HCI.OVRL]
1990,YR1990,Afghanistan,AFG,0.202433955671883,..,196509994.506836,..,..
1990,YR1990,Algeria,DZA,2.4940676377263,8828.87447349486,471670013.427734,..,..
1990,YR1990,Angola,AGO,3.34514364694209,5768.56461182679,396899993.896484,..,..
1990,YR1990,Bangladesh,BGD,2.12605906093885,1730.36894499325,2659610107.42188,..,..
1990,YR1990,Benin,BEN,3.0406276980036,2109.55933453942,403700012.207031,..,..
1990,YR1990,Bhutan,BTN,2.58173992694972,2737.99305333418,62580001.8310547,..,..
1990,YR1990,Bolivia,BOL,2.09408169694284,4437.86682732704,737140014.648438,..,..
1990,YR1990,Burkina Faso,BFA,2.61991248147088,981.844761883421,493350006.103516,..,..
1990,YR1990,Burundi,BDI,2.02808887960492,1175.15508588164,402000000,..,..
1990,YR1990,Cabo Verde,CPV,1.77474829593989,1620.98421947654,167729995.727539,..,..
1990,YR1990,Cambodia,KHM,3.8888910533693,..,64720001.2207031,..,..
1990,YR1990,Cameroon,CMR,3.03133254749302,3483.1868621115,673690002.441406,..,..
1990,YR1990,Central African Republic,CAF,3.07658185416468,1200.61339024031,370059997.558594,..,..
1990,YR1990,Chad,TCD,2.72158466618937,1027.24442257679,465450012.207031,..,..
1990,YR1990,Comoros,COM,2.71204098414926,2922.71225211885,65510002.1362305,..,..
1990,YR1990,"Congo, Dem. Rep.",COD,3.28116908153439,1750.16973868902,1332170043.94531,..,..
1990,YR1990,"Congo, Rep.",COG,2.81691162830882,5007.31924472282,313390014.648438,..,..
1990,YR1990,Cote d'Ivoire,CIV,3.83042377895307,4276.70571457945,1001510009.76563,..,..
1990,YR1990,Djibouti,DJI,10.2192410303274,..,306630004.882813,..,..
1990,YR1990,"Egypt, Arab Rep.",EGY,2.5648085572032,5971.77651369592,9754799804.6875,..,..
1990,YR1990,El Salvador,SLV,1.81155478135323,5191.97145682166,561739990.234375,..,..
1990,YR1990,Eritrea,ERI,2.2497645204013,..,6789999.96185303,..,..
1990,YR1990,Eswatini,SWZ,3.3407413815376,4909.26630555472,85419998.1689453,..,..
1990,YR1990,Ethiopia,ETH,3.57654149352685,767.170418557348,1510640014.64844,..,..
1990,YR1990,"Gambia, The",GMB,4.00808814190408,2080.15808488147,149360000.610352,..,..
1990,YR1990,Ghana,GHA,2.58730751161564,2299.63879373958,831390014.648438,..,..
1990,YR1990,Guinea,GIN,3.49072387036051,1507.19852172343,431459991.455078,..,..
1990,YR1990,Guinea-Bissau,GNB,1.5852986794001,1998.17320635701,194160003.662109,..,..
1990,YR1990,Haiti,HTI,2.05952182457413,3598.9822459011,247199996.948242,..,..
